scenario,functional,predicted_Pd_gap_kcal,Pd_signed_error_kcal,set_MAE,set_MSE,set_RMSE,delta_set_MAE,NER_frozen,overall_NER_frozen,TM_NER_frozen,delta_overall_NER_frozen,overall_rank_frozen,NER_exploratory_panel,overall_NER_exploratory_panel,TM_NER_exploratory_panel,overall_rank_exploratory_panel,delta_overall_NER_vs_current_exploratory_panel
current_official,wB97X-V,22.8991443142,-49.8208559708,6.23755127234,-4.42004518576,10.390598037,0,1.20103818423,1.31290512145,1.26811157977,0,4,1.20103818423,1.31290512145,1.26811157977,4,0
current_official,revDSD-PBEP86-D4,21.0679882038,-51.6520120812,4.32488942252,-1.74664866306,9.92661148791,0,0.832755854379,1.52195946704,1.35303211616,0,5,0.832755854379,1.52195946704,1.35303211616,5,0
issue_QZ,wB97M2,22.7156080214,2.37591439776,4.28356667756,-1.39358176825,8.01462679925,-1.48838993331,0.824799175161,0.946440595061,1.02002920728,-0.00209188999762,1,1.13711598114,0.948720279776,1.05473107461,1,0.000187794717583
issue_QZ,B3LYP,16.8687958387,-3.47089778493,5.82544605574,1.13888689338,6.98670180879,-1.63688458317,1.12168747761,5.68885969051,2.09365389309,-0.00230059503237,16,1.54642341439,5.69195995282,2.14084677496,16,0.000799667279903
issue_QZ,BMK,-6.45541743184,-26.7951110555,6.62805605583,-2.00370727284,9.69985462797,-1.63688458317,1.27622973547,4.52131950348,1.95446049181,-0.00230059503237,15,1.75948433451,4.52484690931,2.00815544726,15,0.00122681080006
issue_QZ,CAMB3LYP,17.8300455363,-2.50964808736,3.67593754686,0.165209555002,4.90539149084,-1.63688458317,0.70780041139,3.6457045023,1.81540540283,-0.00230059503237,13,0.975814699494,3.64766081097,1.84518476817,13,-0.000344286360079
issue_QZ,CF22D,22.5781673824,2.2384737587,3.44204335799,0.554628409819,4.53003550072,-1.49697997325,0.662764172066,1.247153142,1.00722195989,-0.00210396305605,3,0.913725127864,1.2489849738,1.03510651054,3,-0.000272131261907
issue_QZ,M052X,22.6520902574,2.31239663377,8.31937791143,4.16460171563,9.8546281515,-1.49235979356,1.60189313152,1.93939587654,1.71247596492,-0.00209746952404,6,2.20846278075,1.94382339223,1.77987259261,6,0.00233004616378
issue_QZ,M062X,23.8751042143,3.53541059068,6.74196817224,2.30428682095,8.5046512001,-1.41592142125,1.29816347124,1.96901440833,2.2522985507,-0.00199003755148,7,1.7897234548,1.97260243741,2.30691632665,7,0.00159799152559
issue_QZ,M08HX,28.5188424322,8.17914880852,4.03617811315,-2.49274471954,4.97425311661,-1.12568778263,0.777164598831,1.99189293955,2.19888323286,-0.0015821223728,8,1.07144419142,1.99404096577,2.23158096537,8,0.000565903850441
issue_QZ,MN15,21.26769241,0.927998786314,5.37871769408,2.57049051177,7.44261276219,-1.57888465902,1.03567009725,2.00765027859,1.07013767337,-0.00221907777774,9,1.42783486482,2.01051279515,1.11371153643,9,0.000643438773915
issue_QZ,PBE0,16.6255562238,-3.71413739983,7.11021907545,-4.58955260414,8.56092098013,-1.63688458317,1.36907004608,3.47538167544,1.57517888659,-0.00230059503237,12,1.88747937145,3.47916568511,1.63277992274,12,0.00148341464186
