Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
BUT14DIOL,Intramolecular Noncovalent,0.05726905962486346,0.4616334490493713,0.1337572910861146,0.2505048219241288,0.2643591789278583,0.2962814924373927,0.1892001600101629,0.3309088714811126,0.4758743695711984,0.3036099478107941,0.5544332440839725,0.2271619039705811,0.1327335399813049,0.04279425258147482,0.03961098035179093,0.05641725920508584
ICONF,Intramolecular Noncovalent,0.1679485309095929,0.8709239485171922,0.4903332970046715,0.6967330676791339,0.3332002087409997,0.3720378730116944,0.4027241920634552,0.6450063606258223,0.6440486219589501,0.6206852636241114,0.3491149836025843,0.6349245413824997,0.5511953907276719,0.2044799769182393,0.3624231453342643,0.1654602409228073
IDISP,Intramolecular Noncovalent,2.485701898913807,18.77635972085614,7.748019874762396,12.20629018939274,2.244898126232779,2.724214697232178,2.840186861999332,3.292926752210022,4.346207729004619,10.31955198757173,9.046876437728294,10.6730566116657,6.847114688930986,2.793757295350036,3.900545608341161,14.4493030546575
MCONF,Intramolecular Noncovalent,0.3883822373736878,2.816039852232552,1.043768579143513,2.021793491975596,0.2327541456209671,0.2221731617445572,0.4254098393628922,0.5946646896813561,0.6671111881458504,1.901666610111902,1.157419818591441,1.671714270242787,0.8677728664531503,0.3819436288021109,0.2554246972619154,0.1683198817255014
PCONF21,Intramolecular Noncovalent,0.4430345226089039,4.336302524342845,1.766447629317391,3.272033536778033,0.3177762995197875,0.6061834728759731,1.03960929272589,0.9784490296459774,1.32853830622357,3.44758442982317,1.630809753297337,2.458892362853892,1.494834553789762,0.6668002065370581,0.3495800391786931,0.1807657357185095
Pentane13,Intramolecular Noncovalent,0.1732068183134627,0.484285015646222,0.1452429087717796,0.4137121052627106,0.1686862954028452,0.271628005164598,0.1391846478752008,0.2837450095461817,0.320829404205589,0.3556098700784667,0.1598923812364365,0.2604136046651449,0.5200104098905544,0.109177950259396,0.05987955296482357,0.07305963805526919
SCONF,Intramolecular Noncovalent,0.1635200785642527,0.8909974461533537,0.2726637432999833,0.4372436997957906,0.1936040172513681,0.2741324468254621,0.3241967494645772,0.4147083906933582,0.664612231128687,0.4160336712114373,0.3265930292421666,0.4189991436268162,0.1928785466511691,0.2073221725367455,0.2084661647731787,0.1120237868367018
UPU23,Intramolecular Noncovalent,0.4706869883878029,3.617330731069528,2.414556447377779,2.908211064684513,0.589354027001437,1.21079019689813,0.7709847917638036,1.084753620996668,0.6840371504888114,2.747362431378916,2.025185384899309,2.887042089761907,1.540038808492062,0.6016754326245513,0.6655224762128626,0.5312483067451967
AlkIsomer11,Isomerization,0.04210765408824077,3.979153940377913,1.583218051957295,2.876992928495878,0.1175713675174521,0.1572166393063349,0.1764153827939652,0.3449766974302358,0.7832099787454373,2.828206250119007,2.109839457376995,2.805514491164923,1.458600660278554,0.1929176637435963,0.6876034110043713,0.3573537640110925
C20C246,Isomerization,6.448564386463206,52.543977186918,16.20471228309112,31.84959129713652,17.99143776151176,20.14789859888714,27.05540911760261,22.39512153616144,17.89131923485255,17.10645554843339,26.61524716534945,17.93877098505726,19.81937960646105,8.319817656762998,8.952567931355066,38.76877109986788
C60ISO7,Isomerization,2.941824466906334,1.489376192631266,5.125612521516718,10.451190033215017,4.73096122603899,10.132408817366155,8.028044392500805,8.737335653888488,2.336223695716771,2.3239683305837278,2.177161459180349,7.442808451402887,5.024840912319767,11.543580859095762,13.181332319490059,36.41159863562429
DIE60,Isomerization,0.3504299778628125,1.497229586677096,0.6745879744240452,0.867233357677655,0.8374957592098585,0.608595675296264,0.8357364572384864,0.9641673119411088,0.9658842872192689,1.685045355488091,1.488294617360583,1.30225867826459,1.563256751629823,0.6537682601618602,0.82255565894933,0.4165604466388144
EIE22,Isomerization,0.2383104217524011,1.729649667121832,0.7640790796437846,0.927523132188016,0.6163957674477352,0.4568269661838229,0.3694267167967208,0.5123875764129837,0.8558241020754286,1.598157603345782,1.466755333978187,1.135557467870901,1.555922589286328,0.2408865666257656,0.2619965048562073,0.4501595385835896
ISO34,Isomerization,0.5220290522495405,3.342081521202013,1.656713600379183,2.083464476568378,0.8286230679480356,1.590391060897401,1.70871888789745,1.318160948895771,1.864413968211123,2.225373316599686,1.823779129684849,2.024226008374369,1.955439807665284,0.8073806673275972,1.546920194944862,0.5013839717894519
ISOL23,Isomerization,1.314273829354848,15.04971374656843,5.335370091734809,8.472500587364198,2.458200791980478,4.330914338509694,4.745568175993128,3.7743443007685,3.698729088552259,5.998482355793216,7.517301006683994,5.746819364522717,4.558454088288141,2.133776114188943,3.918018494928331,7.33112453586382
ISOMERIZATION20,Isomerization,1.284887606097059,2.334880322046895,2.368850065020039,1.909465796248308,1.646944531957723,1.853737443417071,1.500116204255007,1.777080699512745,1.918915236469614,2.333421183816477,1.812092427820126,1.840121747017811,2.910532064466746,1.905921910385071,1.592615536073217,3.74060438258164
PArel,Isomerization,0.6868243529491297,1.793991132204446,1.224786189981951,1.177415692335426,1.540198106490066,1.593599131936513,1.502905518736684,1.428225599808142,2.052785882914396,1.798626143366672,1.58363012713074,1.486881251172663,1.892156706389023,0.9163869152447535,0.9429897188085257,0.6597604897303467
Styrene42,Isomerization,1.330334985507597,6.890527175209207,3.385036344387432,3.769928368244432,1.464917988809297,4.229113034794151,2.988055182277861,2.327477386750809,3.206868562331815,3.46828329018261,2.858884801077668,3.101230410172428,3.891507340600708,1.741310637428974,3.622363536124861,5.945568389287145
TAUT15,Isomerization,0.3713777008518664,1.406190791037572,1.450752149873204,1.139253783164392,1.017407039333797,1.532982193422215,0.9505014937018285,0.9447195540297751,1.604312690815718,1.665879370769907,1.238677995259084,0.622916769450283,1.677079282115545,0.4437333843792317,0.836131512163174,0.6270093894282368
3B-69,Noncovalent,0.08328511476508461,0.08776914267161488,0.6087708754926404,0.05327753557757468,0.1009475078377386,0.1200175102457151,0.2187978366403698,0.24215054897143,0.2716447973008408,0.05392463408224682,0.1041781943642727,0.3637001534826263,0.08368006303752752,0.1294740979364926,0.109138416677592,4.351684526491024
3BHET,Noncovalent,0.1093387592611812,0.2284559178253215,0.8256373628121187,0.1677821264443909,0.1766616924363174,0.2026696212494146,0.3448080190320342,0.3360544114692861,0.3541988826332272,0.2340175195206573,0.2302032839380886,0.4596306497242038,0.1518326597326095,0.1840967055348648,0.140805319847496,0.0746763188566842
A19Rel6,Noncovalent,0.06999262036120796,0.6737099226950286,0.7395429365678425,0.3815109401423256,0.1684398640751004,0.2015779555721871,0.2409362907625317,0.2760312575226509,0.3022981897259036,0.338372260687105,0.3030434397904832,0.6316167554597949,0.2274019564561432,0.0641409120361808,0.05967405699300134,0.05895335047927059
A24,Noncovalent,0.1251906741753466,1.082256188893902,1.214455492133992,0.6863872098302433,0.1851733521439546,0.2895082019874381,0.2625402498216552,0.2245589214006463,0.3049672359654816,0.5587816864874595,0.4724384593014851,1.00996447621498,0.3541254901502462,0.09365333451608464,0.08408276796605643,0.05774607591886177
ADIM6,Noncovalent,0.3333192395968225,5.44001383934766,3.955354549868561,3.889211114714301,0.0657216505778895,0.9761763487160496,0.3770511793020597,0.5070335074336904,1.514797654164421,3.771935111539076,2.139313930824553,4.393899688820167,2.362810390831573,0.1246302317907654,0.1718555331897876,0.2016352936564481
AHB21,Noncovalent,0.3570056338419543,0.9699627382167497,0.8894208538926027,0.8813909166829633,0.2778372931804047,1.671825187733032,1.32318573294843,0.613744329222992,0.4332890996681831,1.222093488966462,0.5884775548754262,0.7508239012873013,1.835272859441029,0.3050477406299331,0.4857806596125137,0.3312218534853241
Bauza30,Noncovalent,0.6863111041187127,1.660165354727849,1.374303329256728,1.262488792820805,0.6101447796815438,2.022688892910254,1.296207617054203,1.143669954437571,0.8050207366779951,2.609156859633493,1.753241655840295,1.30745587872577,2.862944466904724,0.5975202571626949,0.8146435233214658,3.363452739917944
BzDC215,Noncovalent,0.1929133113872256,2.064198043046,1.491640913451635,1.349015021724246,0.237645313140791,0.3437539030597598,0.3377186541259767,0.4862636448553779,0.5341799429069399,1.043910875411887,0.7142737954866499,1.435929944413783,0.4791211852313532,0.1899353260086996,0.2070760035503781,0.2334354052001868
CARBHB8,Noncovalent,0.1441263202429235,0.9916226711404017,1.108642192237173,0.5428566719274733,0.4267794555940159,0.2914855470474719,0.1634056938619559,0.4438808812991727,0.3866335862848446,0.4375352615892433,0.588774417012801,0.77656408248539,0.5138950168339461,0.3187255638825203,0.2118131976064039,0.3383411489208678
CHB6,Noncovalent,13.9026194384108,1.494460314923322,1.773297423471344,1.625308029620322,0.712507079634027,2.327752092624194,1.601770329712778,2.756508256650557,0.3725909256015812,1.297795600093542,1.449424092310272,1.366667243660907,0.8484176164532714,1.099643240583813,1.016081035734736,0.8238187754728994
CT20,Noncovalent,0.1639271107078005,0.7016342809498567,1.40363651163679,0.3558587014818074,0.1364580357907163,0.1681193117458557,0.2301305241151932,0.3520870859497006,0.1890788826421486,0.4214560703895511,0.305879087447066,1.111878525497324,0.2334759112198325,0.1072567715612671,0.1093748483836312,0.1458710102834212
DS14,Noncovalent,0.1367136946204595,1.988528658226667,1.622197615591556,1.355113409659515,0.2129613234508521,0.3686589351021913,0.2485168929759726,0.1758915058305837,0.2547591818612074,1.158747861308032,0.9893411470146743,1.505983200979685,0.6490982771660417,0.1449870462944826,0.1063291707724907,0.07157844195876663
FmH2O10,Noncovalent,0.1613056177240352,16.11402374434221,8.033627927546467,0.5493202768727068,2.145459129776262,7.292109259177803,8.527711518077794,3.013381185389148,3.466438206566617,3.651341810987934,10.4125135385375,5.885797900094259,8.30248495739271,0.4318041243031611,0.1776030579672779,1.316818236762222
H2O16Rel4,Noncovalent,0.3321529725341175,3.417107298205304,1.892800573927295,2.307151548332947,0.06631131171451062,0.4587404734882275,2.134344864806361,1.207335534732423,1.279180276556502,3.131597949122523,2.01155500919149,0.2471286982316926,0.7176718241508931,0.0407076234787156,0.4271057212252453,0.7285069901670198
H2O20Rel9,Noncovalent,0.1349569250105558,1.397461415650548,1.597792649599658,0.8871796561315414,0.1852221123530832,0.5013482546991322,1.5148094124986,0.985805515110288,0.9541772663681103,1.175910433926519,0.8055854779443068,1.023327549554688,0.2888046218827523,0.1285543590587391,0.1201428692256099,0.2590160959017688
