Dataset,Datatype,wB97M2,B3LYP,BMK,CAMB3LYP,CF22D,M052X,M062X,M08HX,MN15,PBE0,PW6B95,SOGGA11X,r2SCAN0,wB97M-V,wB97X-V,revDSD-PBEP86-D4
V30,Frequency,0.8761390189112278,1.060830648676765,1.099713284993532,1.062130677838842,2.860531381523753,1.322852217347581,1.013570648717671,1.25133300335017,1.762850698067449,0.7235033584737127,1.455633822688355,1.362824442117218,1.666020535376949,0.9247261666421355,1.190705328840419,0.3264042308092379
ACONF,Intramolecular Noncovalent,1.430166680750951,19.93385223592764,4.139524644947631,14.52598282529757,0.7617233545979868,1.726243745626526,5.182904116829674,8.438493495735239,11.03674215184894,13.32355012800618,4.279326544331893,9.38974051246278,8.919466627622318,1.215392526811228,0.3703988927287923,0.6691017742178826
Amino20x4,Intramolecular Noncovalent,0.4396246157051474,3.407116957108588,1.625978410481669,2.675710679930257,1.482621928530006,1.488365702143359,1.561147656396631,2.008025254826395,2.69871102057187,2.497595385179377,1.967179620380065,2.018918361880462,1.608677307584744,0.9786336448968752,0.9603931033904063,0.6438717768953928
BUT14DIOL,Intramolecular Noncovalent,0.6093947749520888,4.732396893749357,1.358098416202107,2.148354798782925,2.871682378652528,3.123125892219867,1.462897532936763,3.260872487659975,4.564234456386421,2.981226990271233,6.268290309660553,2.13626900889067,1.281769364270943,0.3372936167269994,0.3691763943675622,0.5057361511061683
ICONF,Intramolecular Noncovalent,0.534798085299116,2.527316212087396,1.653622242255255,2.295124722020877,1.140213659180747,1.203913892573765,1.285734718926063,2.210649758539028,2.336853617131335,1.753661960823006,1.118627319037534,1.856357958009066,1.630592675225198,0.6086428848640869,1.12135001448648,0.513438790141853
IDISP,Intramolecular Noncovalent,0.924868112637699,10.54545527432168,4.353060839592393,7.171729320656561,1.104680540556004,1.322154613635764,1.282837544259559,1.905778855893676,2.346995808074687,6.176750729781137,4.634301106802985,6.224752668426354,3.916007052385472,1.072425376323786,1.691787777594557,4.192351884148201
MCONF,Intramolecular Noncovalent,1.547521201963677,10.88918901277009,3.995707336061187,7.756732865972099,0.8586200390737183,0.7885516512818197,1.550221631614872,2.147411649030994,2.377254957227896,7.316761994239081,4.326075320958362,6.462628590867011,3.277173616363162,1.573930873371115,1.008077883730937,0.6404005578839868
PCONF21,Intramolecular Noncovalent,1.347831413884843,13.40434553469268,4.56246275209845,10.10934571095006,0.9536854280225964,1.834244469386993,3.127998242024282,2.91052372200403,4.011380364106788,10.86386234564281,4.628597911450193,7.018375153527574,4.652165095993769,2.030435142814901,1.023517976911291,0.5480658928383176
Pentane13,Intramolecular Noncovalent,1.661688228688164,5.100348404783664,1.657997292910635,4.419986814941894,1.356794599096638,2.203557160083143,1.345460284262082,3.090339573754129,3.457000553676475,3.738824793157221,1.780131484371209,2.792443649743315,5.829619108758664,1.101786211380221,0.5645557211493468,0.7512470361231045
SCONF,Intramolecular Noncovalent,0.9729100259389,4.838866201295157,1.537319307694009,2.175658594074643,1.075245644165212,1.39573568744991,1.660019639724136,1.894918905046607,3.220161223247059,1.989886385329395,1.856578090992891,2.318404525560086,0.7228567247037316,0.846433368426663,1.063631414135294,0.6504092935755609
